Date,Open,Close,High,Low,Volume
2019-10-30,117.18,118.10,118.37,117.05,2996204
2019-10-29,118.50,117.15,118.73,117.08,4791099
2019-10-28,119.25,119.22,119.70,118.53,3404563
2019-10-25,119.00,119.04,119.33,118.20,2564324
2019-10-24,119.15,119.10,119.57,118.51,2922607
2019-10-23,119.17,119.35,119.85,118.69,2868883
2019-10-22,119.75,119.58,120.17,119.39,2596516
2019-10-21,119.30,119.74,119.83,118.82,3472513
2019-10-18,120.45,119.14,120.60,119.13,5592889
2019-10-17,119.67,119.84,120.25,119.36,3960770
2019-10-16,119.31,119.42,120.11,119.10,4144275
2019-10-15,119.33,119.53,119.99,118.87,5385172
2019-10-14,119.85,119.17,120.46,119.10,4601527
2019-10-11,119.92,120.24,120.71,118.72,6149845
2019-10-10,118.90,119.61,119.88,118.60,4437797
2019-10-09,118.18,118.93,119.30,118.02,3934091
2019-10-08,116.81,117.58,118.67,116.66,5546435
2019-10-07,118.10,117.23,118.30,116.88,4753127
2019-10-04,116.40,118.16,118.30,116.19,4869301
2019-10-03,115.88,116.31,116.80,114.58,5369464
2019-10-02,117.40,116.12,117.55,115.61,6008524
2019-10-01,118.85,117.85,119.11,117.72,3741361
2019-09-30,118.67,118.68,119.44,118.56,3603913
2019-09-27,119.21,118.45,119.23,117.75,3435556
2019-09-26,118.80,118.30,119.55,118.19,3991411
2019-09-25,118.47,118.47,118.72,117.81,5339787
2019-09-24,118.25,118.40,119.86,118.01,7708211
2019-09-23,116.61,117.62,118.41,116.56,5906283
2019-09-20,117.35,116.98,117.64,116.80,11587657
2019-09-19,117.40,117.11,117.81,116.77,3395818
2019-09-18,116.91,117.16,117.23,116.18,4115747
2019-09-17,115.32,116.51,116.69,115.25,4776947
2019-09-16,116.54,115.57,117.17,115.38,6090303
2019-09-13,117.16,117.43,118.19,116.95,5638635
2019-09-12,116.65,116.92,117.07,115.90,4474310
2019-09-11,116.00,116.02,116.70,115.22,5284123
2019-09-10,115.99,116.05,116.96,115.48,4857420
2019-09-09,114.50,116.33,116.61,114.40,5974008
2019-09-06,115.44,114.73,115.75,114.62,4346396
2019-09-05,117.67,115.44,117.96,115.27,5827284
2019-09-04,115.69,115.91,115.96,114.82,5797254
2019-09-03,113.68,114.64,115.31,113.49,5942658
2019-08-30,115.00,114.26,115.38,113.90,5706122
2019-08-29,114.20,114.08,114.59,113.31,5270499
